projectId,language,url,status,classification,h1Count,h1Text,documentTitle,description,canonical,hreflang,sourceExpectedUrl,sourceCtaHref,sourceCtaMatches,sourceCtaSecure,contentLinks,rawUrlTexts,findings
d1442a98-28ad-44bb-9925-e6a8b65821da,es,http://localhost:5050/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano,200,correcto,1,La batalla por la independencia judicial. Lecciones del Sistema Interamericano.,La batalla por la independencia judicial. Lecciones del Sistema Interamericano. | Von Wobeser y Sierra,"El texto revisa la sentencia Gutiérrez Navas y otros vs. Honduras de la Corte Interamericana, que consideró que la destitución arbitraria de magistrados…",https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano,es-MX:https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano | en:https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano?lang=en | x-default:https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,true,true,,,
d1442a98-28ad-44bb-9925-e6a8b65821da,en,http://localhost:5050/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano?lang=en,200,correcto,1,The battle for judicial independence. Lessons from the Inter-American System.,The battle for judicial independence. Lessons from the Inter-American System. | Von Wobeser y Sierra,"The article reviews the Inter-American Court's decision in Gutiérrez Navas et al. v. Honduras, where the arbitrary removal of constitutional judges was held to…",https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano?lang=en,es-MX:https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano | en:https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano?lang=en | x-default:https://www.vonwobeser.com/news/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,https://eljuegodelacorte.nexos.com.mx/la-batalla-por-la-independencia-judicial-lecciones-del-sistema-interamericano/,true,true,,,
f88f3e19-eeb7-4dcf-81bf-7419b292d426,es,http://localhost:5050/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2,200,correcto,1,Daniela Pons - Nexos - Los empresarios son beneficiarios del combate a la corrupción privada - May 2023.,Daniela Pons - Nexos - Los empresarios son beneficiarios del combate a la corrupción privada - May 2023. | Von Wobeser y Sierra,"Las autoras sostienen que las empresas se benefician de combatir la corrupción privada mediante políticas de integridad sustantivas, controles internos y…",https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2,es-MX:https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2 | en:https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2?lang=en | x-default:https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,true,true,,,
f88f3e19-eeb7-4dcf-81bf-7419b292d426,en,http://localhost:5050/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2?lang=en,200,correcto,1,Daniela Pons - Nexos - Business Owners Are Beneficiaries of the Fight Against Private Corruption - May 2023.,Daniela Pons - Nexos - Business Owners Are Beneficiaries of the Fight Against Private Corruption - May 2023. | Von Wobeser y Sierra,"The authors argue that businesses benefit from combating private corruption through substantive integrity policies, internal controls and accountability. These…",https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2?lang=en,es-MX:https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2 | en:https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2?lang=en | x-default:https://www.vonwobeser.com/news/daniela-pons-nexos-los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-2,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,https://anticorrupcion.nexos.com.mx/los-empresarios-son-beneficiarios-del-combate-a-la-corrupcion-privada/,true,true,,,
dcf35485-3541-4cfc-8593-f9c62419505c,es,http://localhost:5050/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2,200,correcto,1,"Comentarios sobre el Delito de Defraudación Fiscal Equiparada relacionada con el IVA respecto a la consignación del Valor de Actos o Actividades, Thomson Reuters (2015)","Comentarios sobre el Delito de Defraudación Fiscal Equiparada relacionada con el IVA respecto a la consignación del Valor de Actos o Actividades, Thomson Reuters (2015) | Von Wobeser y Sierra","Comentarios sobre el Delito de Defraudación Fiscal Equiparada relacionada con el IVA respecto a la consignación del Valor de Actos o Actividades, Thomson…",https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2,es-MX:https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2 | en:https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2?lang=en | x-default:https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2,https://www.vonwobeser.com/index.php/publicacion/p_id-1817.html,https://www.vonwobeser.com/index.php/publicacion/p_id-1817.html,true,true,,,
dcf35485-3541-4cfc-8593-f9c62419505c,en,http://localhost:5050/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2?lang=en,200,correcto,1,"Comments on the Crime of Equated Tax Fraud Related to VAT with Respect to the Recording of the Value of Acts or Activities, Thomson Reuters (2015)","Comments on the Crime of Equated Tax Fraud Related to VAT with Respect to the Recording of the Value of Acts or Activities, Thomson Reuters (2015) | Von Wobeser y Sierra","Comments on the Crime of Equated Tax Fraud Related to VAT with Respect to the Recording of the Value of Acts or Activities, Thomson Reuters (2015)",https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2?lang=en,es-MX:https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2 | en:https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2?lang=en | x-default:https://www.vonwobeser.com/news/comentarios-sobre-el-delito-de-defraudacion-fiscal-equiparada-relacionada-con-el-2,https://www.vonwobeser.com/index.php/publicacion/p_id-1817.html,https://www.vonwobeser.com/index.php/publicacion/p_id-1817.html,true,true,,,
51456133-d260-4f4f-9383-e559f960afaf,es,http://localhost:5050/news/prescripcion-penal-fiscal-thomson-reuters-2015-2,200,correcto,1,"Prescripción Penal-Fiscal, Thomson Reuters (2015)","Prescripción Penal-Fiscal, Thomson Reuters (2015) | Von Wobeser y Sierra","Prescripción Penal-Fiscal, Thomson Reuters (2015)",https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2,es-MX:https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2 | en:https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2?lang=en | x-default:https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2,https://www.vonwobeser.com/index.php/publicacion/p_id-1816.html,https://www.vonwobeser.com/index.php/publicacion/p_id-1816.html,true,true,,,
51456133-d260-4f4f-9383-e559f960afaf,en,http://localhost:5050/news/prescripcion-penal-fiscal-thomson-reuters-2015-2?lang=en,200,correcto,1,"Criminal-Tax Statute of Limitations, Thomson Reuters (2015)","Criminal-Tax Statute of Limitations, Thomson Reuters (2015) | Von Wobeser y Sierra","Criminal-Tax Statute of Limitations, Thomson Reuters (2015)",https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2?lang=en,es-MX:https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2 | en:https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2?lang=en | x-default:https://www.vonwobeser.com/news/prescripcion-penal-fiscal-thomson-reuters-2015-2,https://www.vonwobeser.com/index.php/publicacion/p_id-1816.html,https://www.vonwobeser.com/index.php/publicacion/p_id-1816.html,true,true,,,
dd355580-337a-4753-8c05-3376dfefa8a4,es,http://localhost:5050/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2,200,correcto,1,"Política Criminal Contemporánea de la Secretaría de Hacienda y Crédito Público, Thomson Reuters (2015)","Política Criminal Contemporánea de la Secretaría de Hacienda y Crédito Público, Thomson Reuters (2015) | Von Wobeser y Sierra","Política Criminal Contemporánea de la Secretaría de Hacienda y Crédito Público, Thomson Reuters (2015)",https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2,es-MX:https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2 | en:https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2?lang=en | x-default:https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2,https://www.vonwobeser.com/index.php/publicacion/p_id-1815.html,https://www.vonwobeser.com/index.php/publicacion/p_id-1815.html,true,true,,,
dd355580-337a-4753-8c05-3376dfefa8a4,en,http://localhost:5050/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2?lang=en,200,correcto,1,"Contemporary Criminal Policy of the Ministry of Finance and Public Credit, Thomson Reuters (2015)","Contemporary Criminal Policy of the Ministry of Finance and Public Credit, Thomson Reuters (2015) | Von Wobeser y Sierra","Contemporary Criminal Policy of the Ministry of Finance and Public Credit, Thomson Reuters (2015)",https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2?lang=en,es-MX:https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2 | en:https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2?lang=en | x-default:https://www.vonwobeser.com/news/politica-criminal-contemporanea-de-la-secretaria-de-hacienda-y-credito-publico-t-2,https://www.vonwobeser.com/index.php/publicacion/p_id-1815.html,https://www.vonwobeser.com/index.php/publicacion/p_id-1815.html,true,true,,,
